id,name,sugar
523,Mcdonalds McDouble,7
524,Mcdonalds McRib,12
525,Mcdonalds Pico Guacamole 1/4 lb Burger,7
526,Mcdonalds Grilled Pico Guacamole Chicken Sandwich,12
527,Mcdonalds Crispy Pico Guacamole Chicken Sandwich,12
528,Mcdonalds Premium Buttermilk Crispy Chicken Deluxe Sandwich,11
529,Mcdonalds Premium Crispy Chicken Deluxe Sandwich,13
530,Mcdonalds Quarter Pounder® with Cheese,10
531,Mcdonalds Signature Sriracha Burger,13
532,Mcdonalds Grilled Signature Sriracha Chicken Sandwich,14
533,Mcdonalds Crispy Signature Sriracha Chicken Sandwich,13
534,Mcdonalds Sweet BBQ Bacon 1/4 lb Burger,14
535,Mcdonalds Grilled Sweet BBQ Bacon Chicken Sandwich,18
536,Mcdonalds Crispy Sweet BBQ Bacon Chicken Sandwich,18
537,Mcdonalds 3 piece Buttermilk Crispy Chicken Tenders,0
538,Mcdonalds 4 piece Buttermilk Crispy Chicken Tenders,1
539,Mcdonalds 6 piece Buttermilk Crispy Chicken Tenders,1
540,Mcdonalds 10 piece Buttermilk Crispy Chicken Tenders,4
541,Mcdonalds 12 piece Buttermilk Crispy Chicken Tenders,2
542,Mcdonalds 20 piece Buttermilk Crispy Chicken Tenders,3
543,Mcdonalds 4 Piece Chicken McNuggets,0
544,Mcdonalds 6 Piece Chicken McNuggets,0
545,Mcdonalds 10 Piece Chicken McNuggets,0
546,Mcdonalds 20 Piece Chicken McNuggets,0
547,Mcdonalds 40 piece Chicken McNuggets,1
548,Mcdonalds 4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,35
549,Mcdonalds 6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,52
550,Mcdonalds 10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,87
551,Mcdonalds Premium Asian Salad w/o Chicken,7
552,Mcdonalds Premium Asian Salad w/ Grilled Chicken,10
553,Mcdonalds Premium Asian Salad w/ Crispy Chicken,4
